size,threads,time,speedup
20000,1,0.712154,1
20000,2,0.128408,5.54602
20000,4,0.115783,6.15075
20000,7,0.109571,6.49948
20000,8,0.045086,15.7954
20000,16,0.180011,3.95617
20000,20,0.0570317,12.487
20000,40,0.0608663,11.7003
40000,1,2.6108,1
40000,2,0.357676,7.29934
40000,4,0.424897,6.14455
40000,7,0.256229,10.1893
40000,8,0.808248,3.2302
40000,16,0.790997,3.30065
40000,20,0.257834,10.1259
40000,40,0.245799,10.6217
